50,150,200,250,400,600,1000,2000
4.51,4.41,4.32,4.27,4.09,3.91,3.51,2.94
3.99,3.16,2.87,2.62,2.08,1.66,1.21,0.83
2.61,1.43,1.19,1.02,0.72,0.52,0.38,0.41
1.83,0.88,0.71,0.59,0.41,0.31,0.27,0.37
